latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,version,bright_t31,frp,daynight
-14.52228,129.82187,312.26,2,1.38,2026-05-22,0026,T,64,6.1NRT,294.9,19.17,D
49.34727,135.49866,318.2,1.21,1.09,2026-05-22,0009,T,78,6.1NRT,294.49,16.33,D
-14.52443,129.84003,310.1,2.01,1.38,2026-05-22,0026,T,60,6.1NRT,295.03,15.23,D
49.29172,135.71094,307.82,1.19,1.08,2026-05-22,0009,T,61,6.1NRT,296.18,5.93,D
-14.27498,127.02312,319.33,1.26,1.11,2026-05-22,0026,T,55,6.1NRT,297.15,15.26,D
48.99612,132.21045,310.22,1.68,1.28,2026-05-22,0009,T,69,6.1NRT,288.07,17.93,D
-14.28483,127.02176,315.26,1.26,1.11,2026-05-22,0026,T,32,6.1NRT,296.94,10.82,D
48.72374,135.13969,336.57,1.23,1.1,2026-05-22,0009,T,0,6.1NRT,294.96,44.75,D
-14.28635,127.03325,321.36,1.26,1.12,2026-05-22,0026,T,73,6.1NRT,297.58,18.62,D
48.9975,132.20341,310.42,1.68,1.28,2026-05-22,0009,T,66,6.1NRT,288.14,17.61,D
-14.46897,126.62744,310.99,1.2,1.09,2026-05-22,0026,T,63,6.1NRT,296.97,7.57,D
48.72242,135.13251,323.61,1.23,1.1,2026-05-22,0009,T,0,6.1NRT,294.86,24.04,D
-15.82264,129.23315,307.79,1.89,1.34,2026-05-22,0026,T,59,6.1NRT,295.05,11.83,D
48.73872,133.02086,310.86,1.53,1.22,2026-05-22,0009,T,68,6.1NRT,289.78,12.93,D
48.73702,133.0412,312.52,1.52,1.22,2026-05-22,0009,T,70,6.1NRT,292.69,14.94,D
48.73416,133.03357,314.6,1.52,1.22,2026-05-22,0009,T,73,6.1NRT,291.93,18.65,D
43.82216,144.11363,305.68,1.63,1.26,2026-05-22,0011,T,53,6.1NRT,292.81,11.86,D
33.92008,130.83923,313.33,1.29,1.13,2026-05-22,0013,T,0,6.1NRT,296.1,8.65,D
18.32812,55.10207,307.71,1.04,1.02,2026-05-22,0001,A,72,6.1NRT,294.84,6.79,N
18.32662,55.11154,317.82,1.04,1.02,2026-05-22,0001,A,96,6.1NRT,295.67,15.14,N
9.37776,-64.52769,307,1.23,1.1,2026-05-22,0115,T,47,6.1NRT,286.64,6.97,N
9.56724,-63.62781,305.77,1.41,1.17,2026-05-22,0115,T,66,6.1NRT,291.42,8.04,N
9.56563,-63.64029,303.63,1.4,1.17,2026-05-22,0115,T,56,6.1NRT,290.98,5.85,N
-29.42838,-62.01338,302.94,1.22,1.1,2026-05-22,0105,T,52,6.1NRT,279.36,12.12,N
9.61637,-63.71599,305.36,1.39,1.17,2026-05-22,0115,T,64,6.1NRT,292.07,7.27,N
9.61481,-63.72831,330.46,1.39,1.17,2026-05-22,0115,T,100,6.1NRT,292.5,44.9,N
-26.1514,-56.76358,300.3,1.2,1.09,2026-05-22,0105,T,23,6.1NRT,278.55,8.38,N
9.62661,-63.71741,310.29,1.39,1.17,2026-05-22,0115,T,80,6.1NRT,291.93,12.24,N
-25.89177,-56.99956,303.86,1.17,1.08,2026-05-22,0105,T,57,6.1NRT,279.91,11.5,N
9.62504,-63.72972,339.65,1.39,1.17,2026-05-22,0115,T,100,6.1NRT,292.35,66.39,N
-26.03328,-60.87553,300.81,1.03,1.02,2026-05-22,0107,T,34,6.1NRT,281.84,8.43,N
